# BLASTN 2.13.0+
# Query: R01C02
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R01C02	chr5	100.000	48	0	0	1	48	66712080	66712033	4.79e-17	89.8
# BLASTN 2.13.0+
# Query: R01F02
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R01F02	chr1	95.767	189	5	1	2	187	270847486	270847298	4.10e-80	302
# BLASTN 2.13.0+
# Query: R01G01
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R01G01	chr1	100.000	136	0	0	1	136	246528830	246528965	2.94e-65	252
# BLASTN 2.13.0+
# Query: R02A05
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
R02A05	chr3	99.728	367	1	0	1	367	163424776	163425142	0.0	673
R02A05	chr8	86.096	374	44	6	1	367	168240014	168240386	3.79e-108	396
# BLASTN 2.13.0+
# Query: R02B06
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R02B06	chr1	100.000	115	0	0	1	115	60120054	60120168	1.14e-53	213
# BLASTN 2.13.0+
# Query: R02C02
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R02C02	chr9	100.000	48	0	0	1	48	158444262	158444215	4.79e-17	89.8
# BLASTN 2.13.0+
# Query: R02D02
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
R02D02	chr10	100.000	230	0	0	1	230	148413526	148413755	2.92e-117	425
R02D02	chr2	91.813	171	14	0	1	171	4543084	4542914	4.08e-61	239
# BLASTN 2.13.0+
# Query: R02D11
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R02D11	chr4	99.143	467	3	1	1	466	248821087	248820621	0.0	839
# BLASTN 2.13.0+
# Query: R02H02
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
R02H02	chr1	99.448	181	1	0	1	181	266558214	266558394	1.81e-88	329
R02H02	chr5	85.714	175	19	4	1	175	16688313	16688481	1.93e-43	180
# BLASTN 2.13.0+
# Query: R03E12
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R03E12	chr9	100.000	48	0	0	1	48	33203208	33203255	4.79e-17	89.8
# BLASTN 2.13.0+
# Query: R04A02
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R04A02	chr1	97.917	48	1	0	1	48	34593857	34593904	2.23e-15	84.2
# BLASTN 2.13.0+
# Query: R04G10
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
R04G10	chr1	100.000	48	0	0	1	48	223321768	223321815	4.79e-17	89.8
# BLASTN 2.13.0+
# Query: R05C01
# Database: resources/part0/reference_genomes/B73v5/B73v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
